City,Country,Date,AQI,PM2.5,PM10,CO,NO2,O3,SO2,Temperature,Humidity,Wind_Speed
Beijing,China,2016-07-14,139.2,69.6,122.9,3.08,16.2,65.9,15.5,33.5,60.2,6.5
Buenos Aires,Argentina,2021-07-09,34.2,20.0,27.9,2.73,9.2,40.7,3.3,-0.1,68.5,2.1
Karachi,Pakistan,2016-10-02,160.4,65.7,105.9,4.36,31.7,46.1,16.5,12.1,,2.5
Mexico City,Mexico,2023-06-14,109.4,50.7,67.9,3.36,32.5,65.0,8.3,17.2,23.7,8.2
Cairo,Egypt,2018-09-22,114.1,72.9,97.6,0.34,31.1,76.6,6.7,7.6,75.6,8.3
Istanbul,Turkey,2022-09-30,96.4,60.3,111.8,4.58,14.1,64.3,12.8,,50.9,9.6
Mumbai,India,2019-08-16,169.5,102.2,183.7,1.91,24.5,77.5,25.0,14.1,50.8,7.0
Stockholm,Sweden,2022-06-15,22.9,15.2,27.1,4.84,5.4,44.7,3.2,5.3,92.4,1.1
Lima,Peru,2019-08-23,110.2,44.7,64.5,2.48,14.5,79.3,14.0,33.3,93.4,10.3
Nairobi,Kenya,2024-10-14,94.7,45.5,70.8,3.16,17.0,34.1,8.8,5.5,85.6,10.6
Seoul,South Korea,2017-09-29,129.7,88.7,139.4,3.0,26.2,27.3,12.0,-1.5,32.8,11.9
Toronto,Canada,2017-12-17,47.5,30.4,51.9,4.6,12.8,53.2,5.9,9.8,67.7,14.7
Stockholm,Sweden,2015-08-03,15.9,8.1,15.9,4.18,1.7,64.8,2.3,9.3,40.7,9.8
Karachi,Pakistan,2017-10-13,136.8,73.2,140.9,4.04,16.6,65.7,12.5,39.7,42.5,7.3
Bangkok,Thailand,2022-02-01,121.3,69.8,103.8,4.59,27.1,76.6,14.3,3.4,21.2,6.4
Jakarta,Indonesia,2020-04-02,93.8,37.9,71.6,1.13,,62.6,4.7,28.3,34.4,5.2
Dhaka,Bangladesh,2023-04-28,179.4,113.6,186.2,1.08,19.3,79.2,21.8,25.6,57.7,6.8
Nairobi,Kenya,2020-05-18,92.1,50.3,82.1,4.22,23.8,28.3,9.7,38.6,75.2,14.6
Karachi,Pakistan,2019-05-31,186.6,106.8,147.9,2.26,29.8,72.5,18.8,21.0,37.6,12.1
Ho Chi Minh City,Vietnam,2023-06-03,128.9,83.9,120.1,0.83,24.2,30.9,9.8,21.3,50.3,13.1
Sydney,Australia,2015-05-11,78.9,55.2,85.6,2.72,10.0,54.8,11.5,28.7,38.3,6.9
Ho Chi Minh City,Vietnam,2022-07-20,126.5,61.7,86.7,,13.6,44.0,15.6,8.9,53.5,8.7
Sydney,Australia,2021-06-28,5.0,3.0,4.3,3.55,0.9,66.5,0.3,-3.9,26.7,14.5
Los Angeles,USA,2022-07-25,67.1,42.4,58.5,2.28,17.7,59.9,4.8,31.3,,11.9
Delhi,India,2019-08-14,182.8,94.7,147.5,3.61,54.5,44.3,25.9,21.4,85.1,3.6
Ho Chi Minh City,Vietnam,2024-11-21,140.2,89.1,134.8,2.75,22.4,40.6,11.2,7.8,72.0,9.9
Bangkok,Thailand,2024-09-15,110.3,53.7,77.5,3.81,19.0,54.2,7.7,22.6,35.6,2.9
Jakarta,Indonesia,2020-04-15,103.3,44.9,59.4,2.26,16.1,37.5,15.3,3.7,54.4,14.8
Beijing,China,2019-02-07,175.0,106.6,166.2,4.56,49.4,43.2,12.6,14.3,92.4,4.6
Johannesburg,South Africa,2021-01-17,72.9,46.4,62.0,2.88,12.5,45.6,7.1,17.6,69.2,10.6
Lima,Peru,2019-07-17,98.5,65.5,121.0,3.75,24.7,25.4,10.1,26.0,25.5,13.8
Nairobi,Kenya,2015-06-19,118.8,50.9,94.1,1.24,25.2,49.5,16.7,35.2,37.9,8.3
Seoul,South Korea,2023-02-09,16.1,6.8,12.2,2.67,4.6,54.5,1.6,36.2,48.5,9.2
Mexico City,Mexico,2018-09-29,61.6,,56.1,4.93,6.8,66.1,3.2,22.2,52.3,13.7
Seoul,South Korea,2015-07-30,108.3,57.0,77.4,1.37,27.5,41.9,12.0,37.6,74.3,7.1
Seoul,South Korea,2017-05-10,102.9,44.6,59.9,0.79,15.3,57.6,14.0,39.7,74.9,2.6
Mexico City,Mexico,2018-06-30,88.4,38.9,53.6,2.97,24.9,61.1,11.5,17.9,55.6,14.1
Berlin,Germany,2015-09-14,19.8,11.1,14.8,1.98,3.9,56.5,2.5,-4.4,42.1,4.3
Jakarta,Indonesia,2017-02-12,83.5,45.1,61.1,3.88,19.8,69.3,5.1,17.8,65.3,1.2
Chengdu,China,2018-05-16,140.4,82.6,115.7,4.4,16.8,74.2,18.6,16.5,68.9,4.1
Stockholm,Sweden,2018-04-09,52.5,33.0,53.2,2.92,12.6,43.3,4.5,-1.1,63.7,10.8
Johannesburg,South Africa,2021-07-02,60.5,27.1,36.1,2.31,8.0,61.4,8.8,-1.7,87.0,10.0
Cairo,Egypt,2016-12-16,103.1,46.1,89.1,,29.0,67.1,6.1,4.9,88.5,3.8
Jakarta,Indonesia,2016-05-15,124.3,70.7,139.5,,25.0,56.6,11.3,1.0,85.1,8.5
Mumbai,India,2015-06-10,165.0,69.4,122.5,2.18,24.9,72.6,11.3,18.2,79.7,12.8
Karachi,Pakistan,2017-10-25,160.2,109.5,174.9,1.78,21.4,29.3,17.8,-2.9,64.6,11.7
Buenos Aires,Argentina,2023-02-26,59.2,38.4,57.0,0.66,14.5,69.7,5.9,31.9,54.3,3.4
Buenos Aires,Argentina,2018-01-22,60.6,26.9,38.5,4.45,7.5,33.5,9.1,20.9,63.9,12.8
Mexico City,Mexico,2020-03-24,65.3,30.5,48.6,3.85,17.9,36.4,5.0,9.7,64.7,4.5
London,UK,2021-08-31,61.8,29.6,45.1,2.6,16.0,72.3,7.0,27.5,39.8,11.2
Stockholm,Sweden,2017-02-05,59.6,27.8,54.7,2.71,15.4,51.5,8.5,1.4,61.0,0.9
Mumbai,India,2022-04-04,211.5,141.8,267.6,2.86,50.9,20.2,24.3,14.2,68.4,10.6
Berlin,Germany,2017-01-11,56.2,29.1,49.9,4.5,16.7,56.3,5.6,25.7,70.1,8.1
Dhaka,Bangladesh,2019-07-12,164.1,102.4,188.2,2.18,48.3,66.9,10.2,39.1,83.4,10.7
Seoul,South Korea,2019-03-27,85.9,49.9,99.6,2.55,11.4,37.7,7.5,9.2,22.3,1.6
Mumbai,India,2019-12-06,214.5,,137.1,1.63,40.9,41.5,28.3,34.7,35.5,2.3
Tehran,Iran,2022-12-02,177.5,97.7,149.2,0.54,39.3,32.5,9.5,,64.8,3.0
Jakarta,Indonesia,2015-06-24,128.2,75.7,144.3,0.59,37.3,51.3,9.6,11.4,24.2,2.1
Lima,Peru,2015-09-08,41.9,18.1,24.2,3.11,7.4,44.4,2.6,-3.0,84.9,6.1
Istanbul,Turkey,2022-02-09,91.6,49.8,92.7,2.15,20.5,60.5,11.1,22.2,61.6,7.4
Lima,Peru,2018-08-13,72.5,36.2,59.9,2.55,11.9,38.1,6.9,31.1,38.6,12.8
Delhi,India,2019-10-02,165.9,69.4,129.7,1.5,48.2,51.4,20.2,15.8,22.1,1.4
Lima,Peru,2017-11-01,111.0,58.2,83.1,3.69,30.7,36.0,11.9,6.0,,1.8
Stockholm,Sweden,2023-09-08,14.3,6.8,9.2,1.83,3.5,55.0,2.1,14.6,45.0,10.6
Beijing,China,2017-11-27,115.2,54.8,103.1,0.75,21.6,55.8,15.6,33.6,33.8,14.5
Seoul,South Korea,2020-09-27,48.3,29.7,45.6,1.48,14.3,53.9,6.1,27.1,76.7,13.6
Toronto,Canada,2024-10-16,7.5,4.7,8.7,4.75,1.8,73.6,0.4,0.7,31.9,2.6
Tehran,Iran,2018-02-02,134.9,87.2,120.6,1.79,17.8,23.8,19.7,33.6,85.9,13.1
Los Angeles,USA,2015-10-30,5.0,3.1,6.0,1.33,0.9,37.7,0.4,24.4,32.3,7.2
Ho Chi Minh City,Vietnam,2022-06-19,95.4,50.7,90.0,3.17,13.7,74.6,12.3,-1.9,45.8,14.9
Cairo,Egypt,2023-07-20,142.1,92.1,149.7,4.96,20.7,58.8,18.5,34.3,43.0,3.3
Mumbai,India,2021-10-15,188.3,109.2,143.5,,30.5,71.8,24.0,14.3,67.3,1.2
Berlin,Germany,2019-08-17,104.1,44.7,,3.0,16.7,42.3,6.1,9.5,92.5,7.5
Lagos,Nigeria,2023-03-20,101.7,51.5,72.0,3.26,25.4,75.4,5.1,-2.0,87.5,9.7
Stockholm,Sweden,2021-04-16,99.1,52.5,83.5,1.92,12.7,42.7,5.1,,83.5,5.2
Istanbul,Turkey,2023-06-21,154.8,99.8,162.9,2.22,21.1,69.5,20.1,28.4,49.5,9.0
Mumbai,India,2016-07-07,149.3,74.0,,0.5,18.0,69.8,22.0,9.5,28.0,14.1
Karachi,Pakistan,2018-01-28,208.1,121.3,235.5,3.25,21.9,42.9,25.0,16.4,51.5,10.2
Seoul,South Korea,2016-03-11,85.9,57.8,91.8,3.27,25.5,67.1,8.9,33.7,62.0,6.9
Lahore,Pakistan,2018-07-31,167.8,84.4,151.9,0.36,39.0,40.8,10.0,39.1,35.9,5.6
Beijing,China,2015-06-12,148.7,89.0,164.4,4.35,24.1,51.5,17.3,23.3,,11.7
Nairobi,Kenya,2024-12-01,95.8,52.0,83.2,2.44,16.7,55.5,7.9,23.7,35.2,11.5
Mumbai,India,2018-01-30,157.7,90.4,140.9,0.37,19.6,24.8,8.0,27.5,91.7,0.7
Cairo,Egypt,2015-04-09,142.6,74.4,148.3,3.0,33.4,59.2,10.3,17.0,36.2,7.9
Tokyo,Japan,2015-05-07,84.1,43.3,67.6,1.67,9.7,66.3,7.7,31.6,82.7,3.6
Tehran,Iran,2015-01-23,139.9,91.8,156.1,3.26,36.0,27.3,15.2,-1.2,39.5,3.6
Mumbai,India,2022-12-18,234.2,153.0,213.1,3.91,30.1,31.4,33.2,-4.6,34.8,3.6
Nairobi,Kenya,2020-07-11,56.3,30.4,48.0,3.24,15.4,37.9,5.9,11.7,23.0,12.4
Mumbai,India,2015-03-23,171.8,68.8,101.5,1.75,45.1,65.6,15.4,2.1,49.0,12.2
Karachi,Pakistan,2022-11-03,134.6,90.5,144.0,1.43,20.0,34.5,6.8,14.7,86.8,0.9
Cairo,Egypt,2020-07-04,121.0,54.9,99.0,3.99,29.9,40.4,14.6,16.3,31.4,3.4
Beijing,China,2016-10-05,142.4,60.8,102.6,4.25,16.7,45.1,20.9,28.2,34.8,4.6
São Paulo,Brazil,2020-04-14,80.9,,60.7,1.97,16.0,34.2,9.4,5.6,65.2,5.7
London,UK,2024-06-16,100.9,57.4,103.8,4.88,17.0,66.3,6.0,34.1,78.4,8.1
Buenos Aires,Argentina,2018-12-02,51.9,24.7,37.3,2.17,10.0,73.8,7.2,24.6,37.4,4.0
Mumbai,India,2017-06-27,128.8,58.0,104.8,4.12,19.6,45.5,15.6,16.1,92.1,2.4
Beijing,China,2019-09-21,160.7,79.0,140.8,1.49,47.1,23.0,16.3,36.0,55.2,12.7
Mexico City,Mexico,2018-03-27,112.6,52.4,68.6,1.05,12.0,34.2,12.8,1.8,26.1,14.6
Jakarta,Indonesia,2017-08-17,156.0,92.2,126.9,4.16,32.4,30.9,16.8,-3.2,92.9,12.5
Berlin,Germany,2020-01-26,5.0,3.3,5.1,0.53,0.7,32.9,0.7,36.6,42.5,0.5
Dhaka,Bangladesh,2024-03-02,132.7,84.8,126.2,2.36,17.9,39.6,16.7,14.3,53.5,11.9
Ho Chi Minh City,Vietnam,2022-11-08,119.7,78.3,126.9,3.41,19.3,23.6,8.0,13.1,46.5,13.5
Delhi,India,2016-02-18,141.9,78.1,116.8,2.76,17.3,68.2,18.2,25.1,59.9,6.2
Paris,France,2018-01-16,66.8,33.7,48.3,1.91,6.8,45.4,5.2,30.6,70.6,0.9
Seoul,South Korea,2017-06-30,102.1,57.5,99.6,3.91,30.0,62.1,10.7,13.6,75.4,14.1
Los Angeles,USA,2017-05-22,14.5,9.5,17.1,1.97,4.0,78.3,1.1,3.4,82.4,8.9
Istanbul,Turkey,2021-07-22,106.7,53.8,91.8,3.01,14.7,79.5,12.4,24.9,42.3,9.9
Nairobi,Kenya,2015-04-25,70.6,43.3,80.7,3.47,9.1,55.7,8.8,1.2,24.2,4.2
Buenos Aires,Argentina,2022-12-05,54.6,24.3,35.0,2.79,7.2,56.3,4.3,9.0,92.6,12.2
Jakarta,Indonesia,2018-07-14,90.2,58.9,76.8,0.98,18.7,31.3,10.2,-4.8,27.4,11.6
London,UK,2024-09-22,40.9,16.6,24.0,1.42,11.0,55.0,4.3,-1.1,69.3,2.8
Nairobi,Kenya,2022-03-15,114.0,73.2,104.9,4.61,11.5,39.8,6.5,27.4,57.5,3.0
Lagos,Nigeria,2019-11-24,119.2,55.8,108.4,3.48,17.7,73.6,7.6,26.0,51.9,4.4
Lima,Peru,2019-11-22,98.0,61.0,107.7,4.41,21.0,31.5,14.5,19.1,43.6,11.8
Los Angeles,USA,2024-12-02,55.0,,33.9,2.45,9.6,53.1,3.8,20.8,94.0,11.4
Sydney,Australia,2015-11-26,45.9,29.7,43.6,0.71,10.7,60.4,6.0,23.3,83.6,4.4
Mexico City,Mexico,2021-12-16,70.0,43.4,68.2,1.29,7.7,65.3,9.3,12.5,86.4,6.5
Tokyo,Japan,2017-09-20,37.9,21.2,32.5,4.15,10.8,79.1,3.2,7.2,32.1,1.2
Lima,Peru,2021-03-24,34.7,21.4,42.4,1.75,9.0,25.6,4.9,-2.7,79.1,5.0
Ho Chi Minh City,Vietnam,2017-06-12,148.1,93.2,141.6,1.96,,69.4,9.0,35.6,65.1,9.0
Chengdu,China,2018-04-08,169.3,101.7,153.8,,22.8,47.8,10.3,24.4,32.7,13.0
Ho Chi Minh City,Vietnam,2016-02-10,138.6,57.3,114.5,1.71,19.7,44.9,7.0,34.9,40.1,8.1
Karachi,Pakistan,2019-03-14,176.7,112.6,166.1,3.67,21.8,62.3,25.1,-1.2,28.8,8.6
Wuhan,China,2017-02-22,116.7,48.6,,1.65,16.1,60.3,6.8,34.0,87.5,5.2
Johannesburg,South Africa,2017-11-21,32.4,16.9,33.3,4.94,8.6,27.5,3.5,27.9,,13.5
Cairo,Egypt,2020-08-09,130.7,65.0,107.6,3.73,24.0,41.1,7.5,15.1,49.5,10.1
Lagos,Nigeria,2021-04-22,132.5,53.2,87.2,3.94,38.3,31.6,12.2,33.1,23.2,5.6
Mexico City,Mexico,2020-11-23,105.7,72.0,94.9,0.67,14.7,43.1,10.3,-3.3,86.2,11.5
Stockholm,Sweden,2015-02-17,5.0,2.0,2.8,,1.5,70.3,0.6,,93.9,12.5
Chengdu,China,2018-10-11,147.2,88.0,174.2,1.46,38.1,55.4,21.3,1.1,74.0,1.0
Bangkok,Thailand,2023-02-26,147.2,73.0,117.0,4.84,16.7,30.1,10.3,14.1,24.6,14.5
Los Angeles,USA,2022-11-05,72.0,43.1,83.2,4.54,9.0,74.1,7.4,7.1,65.6,4.6
Los Angeles,USA,2024-10-25,74.5,48.1,63.6,1.16,21.7,46.7,6.0,36.5,88.3,1.1
Lima,Peru,2019-04-29,21.7,13.5,19.0,3.1,2.2,35.2,1.4,4.4,,13.8
Bangkok,Thailand,2017-07-08,123.3,71.1,104.0,1.59,20.0,66.6,9.3,38.8,79.7,15.0
Tokyo,Japan,2018-03-19,12.0,7.0,13.8,0.44,1.9,36.9,1.8,1.0,80.9,4.5
Buenos Aires,Argentina,2024-12-15,84.5,54.3,87.0,4.24,25.2,50.2,7.6,31.3,68.7,9.4
Karachi,Pakistan,2016-05-31,208.9,96.5,172.0,4.59,45.0,74.2,17.5,-3.1,53.4,0.6
Lahore,Pakistan,2016-10-16,211.0,96.5,161.5,4.76,21.9,34.2,31.0,34.7,82.6,1.8
Beijing,China,2022-05-13,177.3,93.7,163.5,2.32,49.9,21.5,12.3,32.5,75.3,3.2
Karachi,Pakistan,2018-09-15,135.9,67.1,109.8,0.52,36.6,51.3,19.3,9.7,23.7,13.1
Buenos Aires,Argentina,2017-01-24,51.7,28.3,37.3,2.78,6.0,39.6,7.6,7.6,81.0,7.9
Lahore,Pakistan,2023-01-09,108.8,67.1,113.3,2.81,11.5,40.0,13.4,30.8,81.1,1.0
Toronto,Canada,2023-07-05,58.5,30.3,41.9,0.89,6.8,30.8,5.8,-4.3,28.8,13.7
Chengdu,China,2019-02-04,142.4,92.6,166.1,3.41,22.1,40.1,10.5,39.1,67.6,14.5
Johannesburg,South Africa,2018-01-25,130.6,56.0,98.9,1.09,21.6,63.0,12.3,36.5,38.1,2.7
Bangkok,Thailand,2021-11-15,119.0,78.0,147.7,2.04,31.2,24.7,6.0,33.9,85.6,2.6
Berlin,Germany,2018-04-10,48.6,29.0,49.8,3.04,6.7,34.2,5.3,13.1,60.6,4.2
São Paulo,Brazil,2021-08-05,112.1,49.7,65.9,4.77,27.4,49.9,11.8,18.0,87.4,11.7
Tokyo,Japan,2017-05-31,59.0,27.2,41.3,0.93,16.8,22.0,5.0,6.6,20.6,14.0
Seoul,South Korea,2024-03-08,49.5,27.3,46.6,3.17,9.5,55.6,6.2,37.8,69.3,7.2
Nairobi,Kenya,2019-08-27,106.2,55.9,85.8,4.97,26.9,32.4,8.4,35.2,69.6,5.0
Lima,Peru,2020-06-03,118.3,78.2,103.4,1.97,22.0,64.7,8.1,7.9,74.3,1.6
Ho Chi Minh City,Vietnam,2020-05-27,145.6,90.1,150.4,0.77,38.7,27.4,12.9,-2.7,73.2,7.8
Bangkok,Thailand,2022-05-26,110.5,48.8,91.5,2.7,19.1,58.6,14.3,14.8,37.5,13.8
Tokyo,Japan,2021-09-19,64.3,33.0,46.4,2.03,,37.5,3.8,28.9,,14.1
Buenos Aires,Argentina,2019-10-07,5.0,3.2,5.4,3.34,1.0,66.7,0.3,-1.4,27.2,4.7
Toronto,Canada,2021-03-13,80.3,38.9,68.2,0.85,8.2,61.7,9.8,23.0,39.4,13.9
Mexico City,Mexico,2019-11-19,137.6,76.3,152.1,1.7,27.3,75.7,13.2,16.2,26.0,3.6
Beijing,China,2017-07-05,176.3,122.0,183.7,3.55,28.5,22.5,23.4,28.2,24.0,2.6
Johannesburg,South Africa,2016-04-26,76.6,45.6,84.9,,15.6,57.2,10.0,10.3,70.4,11.7
Wuhan,China,2023-05-13,57.3,24.7,40.7,3.6,16.3,27.5,8.4,5.5,33.2,2.2
Beijing,China,2019-04-11,157.1,89.3,133.0,1.79,45.6,74.0,13.4,-2.1,82.5,13.8
Dhaka,Bangladesh,2020-06-22,179.5,117.0,229.5,4.48,,64.8,21.9,31.1,37.2,0.5
Lahore,Pakistan,2023-06-18,194.7,122.6,170.1,2.8,31.7,70.3,11.7,33.2,65.8,13.8
Los Angeles,USA,2022-08-05,59.0,26.1,38.1,2.26,14.5,52.7,5.5,16.5,75.6,1.0
Buenos Aires,Argentina,2018-08-14,106.2,60.7,104.0,3.21,11.8,53.5,11.2,33.5,77.0,1.0
Lima,Peru,2024-07-30,96.8,58.4,80.6,1.1,21.0,68.0,5.1,14.6,94.4,11.6
Berlin,Germany,2021-03-23,93.9,40.3,62.6,1.03,26.7,61.1,12.7,35.4,65.5,0.6
Cairo,Egypt,2024-12-25,111.6,75.7,151.3,2.88,23.0,59.3,11.9,2.2,40.3,3.4
Beijing,China,2020-01-12,190.0,84.0,166.3,2.91,23.8,62.8,18.6,5.1,90.8,3.8
São Paulo,Brazil,2021-04-08,109.1,76.2,137.1,4.02,26.5,57.2,11.5,38.6,90.2,6.8
Nairobi,Kenya,2017-07-31,117.4,64.9,118.3,2.18,24.4,37.9,10.9,38.1,36.1,14.8
Ho Chi Minh City,Vietnam,2015-03-21,112.3,70.3,92.2,4.0,24.2,64.9,14.4,0.6,21.6,2.9
Delhi,India,2023-05-15,172.2,72.7,117.7,1.64,29.8,76.4,21.1,24.6,69.0,8.6
Ho Chi Minh City,Vietnam,2021-05-20,112.6,45.4,59.5,0.41,26.6,26.7,7.9,13.9,40.2,12.3
Cairo,Egypt,2015-10-22,120.7,60.4,91.9,3.51,16.2,36.8,10.3,15.5,34.3,2.8
Lima,Peru,2021-03-23,76.5,48.2,85.3,0.65,15.6,31.0,8.3,-2.2,32.2,11.8
Los Angeles,USA,2022-12-26,81.0,54.5,105.0,4.56,9.6,59.6,9.7,7.1,94.5,4.6
Tokyo,Japan,2017-02-24,48.3,28.1,50.7,3.25,8.8,76.7,5.4,5.1,80.5,10.0
Johannesburg,South Africa,2022-09-04,110.6,53.5,75.4,0.64,16.2,36.7,10.7,38.6,90.7,11.4
Istanbul,Turkey,2023-01-26,113.3,73.0,,4.1,14.8,31.6,14.1,10.7,52.7,12.0
Chengdu,China,2022-06-04,101.8,45.9,69.1,4.45,18.4,35.1,12.0,-3.6,,10.6
Mexico City,Mexico,2021-11-06,32.9,14.7,20.7,1.05,7.2,30.3,1.8,38.1,22.9,10.1
Cairo,Egypt,2018-01-31,128.4,52.8,104.4,2.66,33.0,57.5,14.3,30.5,,6.2
Tokyo,Japan,2020-02-14,39.4,22.1,39.8,3.86,8.4,50.0,4.8,1.5,71.0,13.8
Dhaka,Bangladesh,2024-02-29,183.9,76.1,125.9,3.71,20.0,65.7,14.4,21.5,92.5,14.9
São Paulo,Brazil,2022-05-05,40.3,18.6,29.8,3.6,10.2,33.3,4.2,21.6,87.0,13.2
Mumbai,India,2020-03-04,179.0,99.3,133.6,1.87,40.1,58.3,24.1,12.1,90.2,2.9
São Paulo,Brazil,2017-02-24,75.4,48.8,68.7,2.88,19.3,22.1,4.1,17.1,33.7,7.0
Bangkok,Thailand,2015-02-27,61.0,42.2,74.3,3.53,12.3,69.5,8.1,2.2,77.6,8.7
Toronto,Canada,2023-05-02,32.9,18.8,34.8,4.94,7.3,63.3,4.4,28.8,90.7,3.8
Chengdu,China,2021-12-14,178.1,82.3,139.6,2.76,47.4,43.9,11.5,26.8,65.5,12.5
Mexico City,Mexico,2016-07-23,99.3,40.3,61.1,3.72,11.1,65.4,10.1,34.1,69.5,12.1
Karachi,Pakistan,2016-08-08,228.2,103.1,149.3,,64.1,66.5,19.7,36.3,,10.0
Istanbul,Turkey,2023-12-13,126.9,80.5,117.4,4.46,27.7,68.4,10.8,12.6,90.3,9.5
Buenos Aires,Argentina,2022-07-06,116.9,49.7,79.7,4.29,17.6,71.6,7.7,,65.4,12.2
Delhi,India,2016-01-21,243.6,116.3,196.1,1.28,69.6,60.7,25.9,6.1,50.7,11.8
Berlin,Germany,2023-09-06,62.0,27.2,41.2,4.03,17.2,44.9,7.9,10.0,58.2,0.8
Karachi,Pakistan,2018-01-11,154.0,78.2,128.1,3.94,40.8,63.1,11.0,11.0,38.5,9.7
Chengdu,China,2021-08-28,168.8,110.1,183.8,4.76,28.8,35.2,20.1,2.9,87.5,6.1
Sydney,Australia,2015-05-27,16.0,9.8,18.2,4.92,2.9,50.2,2.2,7.1,34.2,2.4
Ho Chi Minh City,Vietnam,2017-05-30,133.0,64.0,117.1,2.41,,74.8,12.8,20.5,36.7,5.2
Bangkok,Thailand,2017-05-04,102.4,44.5,84.3,3.77,25.8,30.7,10.2,-3.8,43.6,5.5
Mumbai,India,2024-12-14,115.5,80.6,,2.73,21.7,21.1,15.0,25.2,68.7,12.2
Jakarta,Indonesia,2017-07-31,81.7,56.6,99.9,4.3,11.8,39.0,7.3,9.3,86.3,7.9
Buenos Aires,Argentina,2021-06-11,7.5,3.7,4.9,0.95,1.1,58.4,0.5,12.2,79.7,2.3
Ho Chi Minh City,Vietnam,2021-11-19,186.0,125.2,220.8,4.75,27.7,40.5,24.9,31.5,69.9,7.8
Delhi,India,2015-06-24,191.3,92.6,130.7,0.54,48.8,27.9,16.4,39.0,50.7,2.6
Stockholm,Sweden,2019-11-10,17.7,9.7,14.6,1.08,2.7,30.2,2.2,35.8,52.6,12.4
Nairobi,Kenya,2017-12-06,106.1,56.7,92.9,4.16,30.5,64.7,14.7,23.9,82.9,8.6
Istanbul,Turkey,2015-08-27,125.6,59.1,83.2,3.37,24.7,65.9,8.1,37.6,72.8,0.8
Los Angeles,USA,2019-08-21,80.2,39.6,59.1,4.54,21.4,20.6,5.5,27.4,83.6,10.9
Johannesburg,South Africa,2024-12-26,163.5,67.6,133.5,2.0,38.0,60.0,9.1,7.0,69.2,13.7
Stockholm,Sweden,2023-10-21,5.0,2.7,4.7,0.61,1.4,38.9,0.6,36.8,74.0,13.3
Cairo,Egypt,2016-11-14,215.1,130.5,180.3,3.39,27.8,24.1,20.8,22.0,91.9,10.6
Seoul,South Korea,2015-11-04,75.5,35.0,49.3,3.15,10.9,62.4,4.6,10.3,78.0,12.6
Bangkok,Thailand,2020-08-05,121.2,56.6,90.4,0.62,14.8,33.3,9.7,39.9,51.7,10.6
Beijing,China,2016-01-22,178.0,84.4,118.2,1.44,49.2,59.9,16.9,31.9,37.8,4.0
Tehran,Iran,2016-12-23,119.6,55.4,90.4,0.93,,54.6,12.1,34.3,74.9,2.7
Mumbai,India,2021-08-02,204.6,141.1,249.5,2.74,44.1,26.3,22.3,32.6,59.3,3.1
Cairo,Egypt,2024-03-13,104.3,,74.8,4.16,26.2,49.4,13.4,38.9,50.5,14.7
Jakarta,Indonesia,2020-05-30,79.3,54.4,103.7,1.24,13.5,62.5,5.5,21.6,60.1,4.7
Tehran,Iran,2019-08-06,82.9,37.6,69.3,3.03,15.5,30.9,9.1,23.3,56.0,5.9
Jakarta,Indonesia,2019-07-23,124.7,76.2,118.1,3.09,18.3,20.7,17.1,31.9,68.0,12.3
Nairobi,Kenya,2019-01-23,90.1,49.6,89.1,1.87,24.5,71.5,5.1,10.6,32.9,2.5
Bangkok,Thailand,2020-11-19,109.2,51.1,98.2,3.3,19.8,26.7,13.7,9.3,65.5,8.8
Nairobi,Kenya,2022-12-19,145.8,61.9,,1.21,26.0,50.8,17.3,28.4,72.9,1.9
Mexico City,Mexico,2024-08-08,129.0,62.5,98.6,3.34,17.9,50.1,17.9,27.9,74.4,12.8
Dhaka,Bangladesh,2020-05-05,206.8,142.1,273.3,2.91,44.6,26.4,13.7,39.2,77.7,0.9
Johannesburg,South Africa,2018-06-07,75.8,38.2,58.0,2.92,12.4,35.1,10.9,-3.2,52.7,7.9
Jakarta,Indonesia,2017-07-29,118.6,78.9,130.3,2.9,22.8,46.7,8.1,17.7,51.6,7.3
Buenos Aires,Argentina,2022-08-26,65.5,28.8,52.7,2.27,16.3,30.3,7.8,8.0,72.9,1.8
Chengdu,China,2018-01-02,169.0,87.5,118.3,2.77,17.7,69.1,24.3,31.5,91.4,13.5
Johannesburg,South Africa,2015-06-22,63.5,30.1,44.0,4.1,12.6,76.5,8.9,35.2,44.5,2.4
Mumbai,India,2017-05-23,201.6,132.3,258.0,2.97,41.4,70.8,20.4,35.5,22.6,5.7
Toronto,Canada,2017-12-26,37.0,17.1,27.1,0.35,5.9,39.1,4.6,25.5,53.4,11.1
Bangkok,Thailand,2018-10-30,158.5,97.8,185.1,3.83,37.1,53.7,12.8,6.7,83.2,10.9
London,UK,2023-12-10,18.7,8.9,17.7,0.68,5.0,32.6,1.7,14.3,69.7,8.4
Bangkok,Thailand,2023-07-07,32.0,15.5,29.2,4.04,8.5,33.1,4.3,39.3,64.9,1.2
Wuhan,China,2015-08-26,162.4,91.2,164.0,1.18,35.9,52.4,17.9,27.7,60.8,5.2
Ho Chi Minh City,Vietnam,2016-10-26,161.7,85.1,131.8,3.21,26.3,77.8,17.7,21.6,30.2,9.3
São Paulo,Brazil,2023-11-29,117.7,63.0,105.7,2.55,30.8,26.0,7.9,2.1,81.3,2.2
Lagos,Nigeria,2016-09-13,78.0,48.3,76.5,,21.9,49.7,9.7,24.2,69.3,5.6
